Glyph Number,Page,Position,NWL Section,NWL Pronunciation
4938,190,7,Kanji,Chō
4940,190,8,Kanji,Mon
4944,190,9,Kanji,Mon
4945,190,10,Kanji,Hei
4949,190,11,Kanji,Kan
4950,190,12,Kanji,Kai
4958,190,13,Kanji,Kan
4959,190,14,Kanji,"Bun, Mon"
4987,190,15,Kanji,Gen
4993,190,16,Kanji,"Ji, Jo"
4994,190,17,Kanji,Kō
5005,190,18,Kanji,"Roku, Riku"
5006,190,19,Kanji,"On, An, In"
5012,190,20,Kanji,Yō
5030,191,1,Kanji,Yū
5038,191,2,Kanji,Nan
5040,191,3,Kanji,Ri
5042,191,4,Kanji,U
5044,191,5,Kanji,Setsu
5046,191,6,Kanji,Un
5048,191,7,Kanji,Rei
5049,191,8,Kanji,Rai
5050,191,9,Kanji,Den
5055,191,10,Kanji,Shin
5056,191,11,Kanji,"Rei, Ryō"
5076,191,12,Kanji,"Sei, Shō"
5077,191,13,Kanji,"Jō, Sei"
5080,191,14,Kanji,Hi
5083,191,15,Kanji,Hi
5087,191,16,Kanji,Men
5088,191,17,Kanji,Kaku
5110,191,18,Kanji,"On, In"
5138,191,19,Kanji,Rui
5148,191,20,Kanji,"Fu, Fū"
5152,192,1,Kanji,Hi
5154,192,2,Kanji,"Shi, Jiki, Shoku"
5186,192,3,Kanji,Shu
5188,192,4,Kanji,Kō
5191,192,5,Kanji,"Me, Ba, Ma"
5220,192,6,Kanji,"Ken, Gen"
5236,192,7,Kanji,Kotsu
5248,192,8,Kanji,Kō
5276,192,9,Kanji,Ki
5281,192,10,Kanji,Gyo
5340,192,11,Kanji,Chō
5375,192,12,Kanji,Roku
5385,192,13,Kanji,Baku
5390,192,14,Kanji,Ma
5399,192,15,Kanji,"Kō, Ō"
5403,192,16,Kanji,Koku
5404,192,17,Kanji,Boku
5415,192,18,Kanji,Ko
5421,192,19,Kanji,Bi
5428,192,20,Kanji,Shi
5440,193,1,Kanji,"Ryū, Ryō"
5445,193,2,Kanji,"Ki, Kin"
6000,195,1,Hiragana,A
6001,195,2,Hiragana,I
6002,195,3,Hiragana,U
6003,195,4,Hiragana,E
6004,195,5,Hiragana,O
6005,195,6,Hiragana,Ka
6006,195,7,Hiragana,Ki
6007,195,8,Hiragana,Ku
6008,195,9,Hiragana,Ke
6009,195,10,Hiragana,Ko
6010,195,11,Hiragana,Sa
6011,195,12,Hiragana,Shi
6012,195,13,Hiragana,Su
6013,195,14,Hiragana,Se
6014,195,15,Hiragana,So
6015,195,16,Hiragana,Ta
6016,195,17,Hiragana,Chi
6017,195,18,Hiragana,Tsu
6018,195,19,Hiragana,Te
6019,195,20,Hiragana,To
6020,196,1,Hiragana,Na
6021,196,2,Hiragana,Ni
6022,196,3,Hiragana,Nu
6023,196,4,Hiragana,Ne
6024,196,5,Hiragana,No
6025,196,6,Hiragana,Ha
6026,196,7,Hiragana,Hi
6027,196,8,Hiragana,Fu
6028,196,9,Hiragana,He
6029,196,10,Hiragana,Ho
6030,196,11,Hiragana,Ma
6031,196,12,Hiragana,Mi
6032,196,13,Hiragana,Mu
6033,196,14,Hiragana,Me
6034,196,15,Hiragana,Mo
6035,196,16,Hiragana,Ya
6036,196,17,Hiragana,Yi
6037,196,18,Hiragana,Yu
6038,196,19,Hiragana,Ye
6039,196,20,Hiragana,Yo
6040,197,1,Hiragana,Ra
6041,197,2,Hiragana,Ri
6042,197,3,Hiragana,Ru
6043,197,4,Hiragana,Re
6044,197,5,Hiragana,Ro
6045,197,6,Hiragana,Wa
6046,197,7,Hiragana,Wi
6047,197,8,Hiragana,Wu
6048,197,9,Hiragana,We
6049,197,10,Hiragana,Wo
6050,197,11,Hiragana,N
6055,197,16,Hiragana,Ga
6056,197,17,Hiragana,Gi
6057,197,18,Hiragana,Gu
6058,197,19,Hiragana,Ge
6059,197,20,Hiragana,Go
6060,198,1,Hiragana,Za
6061,198,2,Hiragana,Ji
6062,198,3,Hiragana,Zu
6063,198,4,Hiragana,Ze
6064,198,5,Hiragana,Zo
6065,198,6,Hiragana,Da
6066,198,7,Hiragana,Ji
6067,198,8,Hiragana,Zu
6068,198,9,Hiragana,De
6069,198,10,Hiragana,Do
6070,198,11,Hiragana,Ba
6071,198,12,Hiragana,Bi
6072,198,13,Hiragana,Bu
6073,198,14,Hiragana,Be
6074,198,15,Hiragana,Bo
6075,198,16,Hiragana,Pa
6076,198,17,Hiragana,Pi
6077,198,18,Hiragana,Pu
6078,198,19,Hiragana,Pe
6079,198,20,Hiragana,Po
6100,200,1,Katakana,A
6101,200,2,Katakana,I
6102,200,3,Katakana,U
6103,200,4,Katakana,E
6104,200,5,Katakana,O
6105,200,6,Katakana,Ka
6106,200,7,Katakana,Ki
6107,200,8,Katakana,Ku
6108,200,9,Katakana,Ke
6109,200,10,Katakana,Ko
6110,200,11,Katakana,Sa
6111,200,12,Katakana,Shi
6112,200,13,Katakana,Su
6113,200,14,Katakana,Se
6114,200,15,Katakana,So
6115,200,16,Katakana,Ta
6116,200,17,Katakana,Chi
6117,200,18,Katakana,Tsu
6118,200,19,Katakana,Te
6119,200,20,Katakana,To
6120,201,1,Katakana,Na
6121,201,2,Katakana,Ni
6122,201,3,Katakana,Nu
6123,201,4,Katakana,Ne
6124,201,5,Katakana,No
6125,201,6,Katakana,Ha
6126,201,7,Katakana,Hi
6127,201,8,Katakana,Fu
6128,201,9,Katakana,He
6129,201,10,Katakana,Ho
6130,201,11,Katakana,Ma
6131,201,12,Katakana,Mi
6132,201,13,Katakana,Mu
6133,201,14,Katakana,Me
6134,201,15,Katakana,Mo
6135,201,16,Katakana,Ya
6136,201,17,Katakana,Yi
6137,201,18,Katakana,Yu
6138,201,19,Katakana,Ye
6139,201,20,Katakana,Yo
6140,202,1,Katakana,Ra
6141,202,2,Katakana,Ri
6142,202,3,Katakana,Ru
6143,202,4,Katakana,Re
6144,202,5,Katakana,Ro
6145,202,6,Katakana,Wa
6146,202,7,Katakana,Wi
6147,202,8,Katakana,Wu
6148,202,9,Katakana,We
6149,202,10,Katakana,Wo
6150,202,11,Katakana,N
6155,202,16,Katakana,Ga
6156,202,17,Katakana,Gi
6157,202,18,Katakana,Gu
6158,202,19,Katakana,Ge
6159,202,20,Katakana,Go
6160,203,1,Katakana,Za
6161,203,2,Katakana,Ji
6162,203,3,Katakana,Zu
6163,203,4,Katakana,Ze
6164,203,5,Katakana,Zo
6165,203,6,Katakana,Da
6166,203,7,Katakana,Ji
6167,203,8,Katakana,Zu
6168,203,9,Katakana,De
6169,203,10,Katakana,Do
6170,203,11,Katakana,Ba
6171,203,12,Katakana,Bi
6172,203,13,Katakana,Bu
6173,203,14,Katakana,Be
6174,203,15,Katakana,Bo
6175,203,16,Katakana,Pa
6176,203,17,Katakana,Pi
6177,203,18,Katakana,Pu
6178,203,19,Katakana,Pe
6179,203,20,Katakana,Po
6200,193,18,Kanji,.
6201,193,19,Kanji,","
6202,193,20,Kanji,-
