Glyph Number,Page,Position,Section,NBS Glyph Number
1213,118,14,"Duplex, Indexical",1213
1214,118,15,"Duplex, Indexical",1214
1215,118,16,"Duplex, Indexical",1215
1216,118,17,"Duplex, Indexical",1216
1217,118,18,"Duplex, Indexical",1217
1218,118,19,"Duplex, Indexical",1218
1219,118,20,"Duplex, Indexical",1219
1220,119,1,"Duplex, Indexical",1220
1221,119,2,"Duplex, Indexical",1221
1222,119,3,"Duplex, Indexical",1222
1223,119,4,"Duplex, Indexical",1223
1224,119,5,"Duplex, Indexical",1224
1225,119,6,"Duplex, Indexical",1225
1226,119,7,"Duplex, Indexical",1226
1227,119,8,"Duplex, Indexical",1227
1228,119,9,"Duplex, Indexical",1228
1229,119,10,"Duplex, Indexical",1229
1230,119,11,"Duplex, Indexical",1230
1231,119,12,"Duplex, Indexical",1231
1232,119,13,"Duplex, Indexical",1232
1233,119,14,"Duplex, Indexical",1233
1234,119,15,"Duplex, Indexical",1234
1235,119,16,"Duplex, Indexical",1235
1236,119,17,"Duplex, Indexical",1236
1237,119,18,"Duplex, Indexical",1237
1238,120,1,"Duplex, Indexical",1238
1239,120,2,"Duplex, Indexical",1239
1240,120,3,"Duplex, Indexical",1240
1241,120,4,"Duplex, Indexical",1241
1242,120,5,"Duplex, Indexical",1242
1243,120,6,"Duplex, Indexical",1243
1244,120,7,"Duplex, Indexical",1244
1245,120,8,"Duplex, Indexical",1245
1246,120,9,"Duplex, Indexical",1246
1247,120,10,"Duplex, Indexical",1247
1261,120,11,"Duplex, Indexical",1261
1262,120,12,"Duplex, Indexical",1262
1263,120,13,"Duplex, Indexical",1263
1264,120,14,"Duplex, Indexical",1264
1265,120,15,"Duplex, Indexical",1265
1266,120,16,"Duplex, Indexical",1266
1267,120,17,"Duplex, Indexical",1267
1268,120,18,"Duplex, Indexical",1268
1269,120,19,"Duplex, Indexical",1269
1270,120,20,"Duplex, Indexical",1270
1271,121,1,"Duplex, Indexical",1271
1272,121,2,"Duplex, Indexical",1272
1273,121,3,"Duplex, Indexical",1273
1274,121,4,"Duplex, Indexical",1274
1275,121,5,"Duplex, Indexical",1275
1276,121,6,"Duplex, Indexical",1276
1277,121,7,"Duplex, Indexical",1277
1278,121,8,"Duplex, Indexical",1278
1281,121,11,"Duplex, Indexical",1281
1282,121,12,"Duplex, Indexical",1282
1283,121,13,"Duplex, Indexical",1283
1284,121,14,"Duplex, Indexical",1284
1285,121,15,"Duplex, Indexical",1285
1286,121,16,"Duplex, Indexical",1286
1287,121,17,"Duplex, Indexical",1287
1288,121,18,"Duplex, Indexical",1288
1289,121,19,"Duplex, Indexical",1289
1290,121,20,"Duplex, Indexical",1290
1291,122,1,"Duplex, Indexical",1291
1292,122,2,"Duplex, Indexical",1292
1293,122,3,"Duplex, Indexical",1293
1294,122,4,"Duplex, Indexical",1294
1295,122,5,"Duplex, Indexical",1295
2001,123,1,"Duplex, Principal",2001
2002,123,2,"Duplex, Principal",2002
2003,123,3,"Duplex, Principal",2003
2004,123,4,"Duplex, Principal",2004
2005,123,5,"Duplex, Principal",2005
2006,123,6,"Duplex, Principal",2006
2007,123,7,"Duplex, Principal",2007
2008,123,8,"Duplex, Principal",2008
2009,123,9,"Duplex, Principal",2009
2010,123,10,"Duplex, Principal",2010
2011,123,11,"Duplex, Principal",2011
2012,123,12,"Duplex, Principal",2012
2013,123,13,"Duplex, Principal",2013
2014,123,14,"Duplex, Principal",2014
2015,123,15,"Duplex, Principal",2015
2016,123,16,"Duplex, Principal",2016
2017,123,17,"Duplex, Principal",2017
2018,123,18,"Duplex, Principal",2018
2019,123,19,"Duplex, Principal",2019
2020,123,20,"Duplex, Principal",2020
2021,124,1,"Duplex, Principal",2021
2022,124,2,"Duplex, Principal",2022
2023,124,3,"Duplex, Principal",2023
2024,124,4,"Duplex, Principal",2024
2025,124,5,"Duplex, Principal",2025
2026,124,6,"Duplex, Principal",2026
2027,124,7,"Duplex, Principal",2027
2028,124,8,"Duplex, Principal",2028
2029,124,9,"Duplex, Principal",2029
2030,124,10,"Duplex, Principal",2030
2031,124,11,"Duplex, Principal",2031
2032,124,12,"Duplex, Principal",2032
2033,124,13,"Duplex, Principal",2033
2034,124,14,"Duplex, Principal",2034
2035,124,15,"Duplex, Principal",2035
2036,124,16,"Duplex, Principal",2036
2037,124,17,"Duplex, Principal",2037
2038,124,18,"Duplex, Principal",2038
2039,124,19,"Duplex, Principal",2039
2040,124,20,"Duplex, Principal",2040
2041,125,1,"Duplex, Principal",2041
2042,125,2,"Duplex, Principal",2042
2043,125,3,"Duplex, Principal",2043
2044,125,4,"Duplex, Principal",2044
2045,125,5,"Duplex, Principal",2045
2046,125,6,"Duplex, Principal",2046
2047,125,7,"Duplex, Principal",2047
2048,125,8,"Duplex, Principal",2048
2049,125,9,"Duplex, Principal",2049
2050,125,10,"Duplex, Principal",2050
2051,125,11,"Duplex, Principal",2051
2052,125,12,"Duplex, Principal",2052
2053,125,13,"Duplex, Principal",2053
2054,125,14,"Duplex, Principal",2054
2055,125,15,"Duplex, Principal",2055
2056,125,16,"Duplex, Principal",2056
2057,125,17,"Duplex, Principal",2057
2058,125,18,"Duplex, Principal",2058
2059,125,19,"Duplex, Principal",2059
2060,125,20,"Duplex, Principal",2060
2061,126,1,"Duplex, Principal",2061
2062,126,2,"Duplex, Principal",2062
2063,126,3,"Duplex, Principal",2063
2064,126,4,"Duplex, Principal",2064
2065,126,5,"Duplex, Principal",2065
2066,126,6,"Duplex, Principal",2066
2067,126,7,"Duplex, Principal",2067
2068,126,8,"Duplex, Principal",2068
2069,126,9,"Duplex, Principal",2069
2070,126,10,"Duplex, Principal",2070
2071,126,11,"Duplex, Principal",2071
2072,126,12,"Duplex, Principal",2072
2073,126,13,"Duplex, Principal",2073
2074,126,14,"Duplex, Principal",2074
2075,126,15,"Duplex, Principal",2075
2076,126,16,"Duplex, Principal",2076
2077,126,17,"Duplex, Principal",2077
2101,127,1,"Duplex, Principal",2101
2102,127,2,"Duplex, Principal",2102
2103,127,3,"Duplex, Principal",2103
2104,127,4,"Duplex, Principal",2104
